code,hex,count
F3,#F74941,303
H5,#48464E,196
G7,#9D5B3E,142
H6,#2F2B2F,90
T1,#FFFFFF,38
F25,#E54B4F,37
C27,#D3DFFA,34
D7,#8854B3,21
H14,#CFD7D3,19
P17,#FEA324,19
H4,#89858C,18
R28,#9C87D6,18
D25,#494FC7,17
H7,#000000,15
G20,#A94023,13
